"year","lat","lon","tminwinter","tmeanspring","gddspring","precspring","totalprec","chillwinter","loday","gdd","daylength"
1951,50,8.71667,-20.1297973632812,8.61935179337213,400.356164550783,135.088205337524,577.980756759644,97,42,153.709185791017,9.83117402215413
1952,50,8.71667,-15.0182250976562,10.3699336176333,543.000311279299,131.165266036987,655.017375946045,80,69,150.043035888673,11.4692610915645
1953,50,8.71667,-13.1444458007812,10.6159421174423,540.037860107424,122.348785400391,490.96941947937,74,74,152.06492919922,11.7828309346735
1954,50,8.71667,-15.1799682617187,9.26019472868548,406.215124511721,126.28698348999,668.559789657593,69,73,151.178436279298,11.7200469889862
1955,50,8.71667,-14.2702392578125,7.51566898511806,351.19969482422,131.115913391113,567.052602767944,63,91,151.455072021485,12.8486247524957
1956,50,8.71667,-26.2234710693359,8.47289196511976,394.032330322267,174.488306045532,776.733160018921,75,83,153.165661621095,12.3481430108313
1957,50,8.71667,-7.64032592773435,9.4588097613791,432.564916992189,139.075994491577,729.647159576416,74,42,153.996765136719,9.83117402215413
1958,50,8.71667,-11.2950805664062,7.85115270199985,400.422717285158,187.263488769531,758.673906326294,69,47,157.532867431641,10.121731738257
1959,50,8.71667,-14.5819458007812,11.0734460581904,565.363354492189,121.366024017334,429.156064987183,77,64,152.218182373048,11.157098640261
1960,50,8.71667,-14.1792663574219,10.4047535108484,517.563806152346,141.577482223511,811.47575378418,86,52,151.47670288086,10.4201403664926
1961,50,8.71667,-11.2224487304687,10.590968455439,520.671746826174,198.205709457397,791.019678115845,73,46,150.670013427735,10.0629207316228
1962,50,8.71667,-11.6308349609375,7.77402881124748,363.564172363283,170.132398605347,532.846450805664,67,39,152.951202392579,9.66159951600932
1963,50,8.71667,-20.6206420898437,9.42304448666782,467.370874023439,134.923219680786,551.904439926147,45,89,154.074340820313,12.7238600507329
1964,50,8.71667,-10.452734375,9.58357524042547,515.837634277345,144.603490829468,529.352426528931,57,82,155.678186035157,12.2853790307649
1965,50,8.71667,-14.7602905273437,8.48832523511806,403.292126464846,254.133462905884,1077.67462730408,88,76,152.389337158204,11.9084583103381
1966,50,8.71667,-14.5361694335937,10.2322648421578,506.542749023439,192.383766174316,887.788534164429,68,41,150.198217773438,9.77421046336367
1967,50,8.71667,-11.8896240234375,9.66108225946844,440.14856567383,185.218334197998,764.435291290283,91,47,150.122869873048,10.121731738257
1968,50,8.71667,-21.770864868164,9.50721263056219,463.359771728517,167.333602905273,862.005710601807,86,66,151.38139038086,11.2817345267693
1969,50,8.71667,-11.6340087890625,8.95147724980895,432.183172607423,216.108083724976,697.8759765625,72,71,154.291925048829,11.5945706344885
1970,50,8.71667,-22.4279388427734,7.71360599683681,359.085552978517,232.598781585693,800.87161064148,47,84,156.513476562501,12.4108754928311
1971,50,8.71667,-22.416860961914,9.74099320121435,526.54461669922,152.53210067749,549.048185348511,77,55,151.914874267579,10.6021024704198
1972,50,8.71667,-11.5348876953125,9.49261527683426,426.886029052736,210.820198059082,705.070972442627,95,64,154.687646484376,11.157098640261
1973,50,8.71667,-8.69406738281248,8.8522247977879,400.989727783205,168.11466217041,603.474140167236,79,73,150.786322021486,11.7200469889862
1974,50,8.71667,-16.1342224121094,9.97320410686993,483.496478271486,128.767728805542,808.967351913452,102,32,150.490966796876,9.28377859603781
1975,50,8.71667,-5.02927246093748,8.82183360224187,398.339178466798,164.114713668823,709.371566772461,107,30,157.926147460938,9.18134935913566
1976,50,8.71667,-14.1316284179687,8.99449310302737,453.781390380861,87.2628688812256,497.692584991455,96,42,150.394561767579,9.83117402215413
1977,50,8.71667,-10.4764770507812,9.20484645677652,426.104760742189,138.860464096069,752.568483352661,82,46,150.756945800782,10.0629207316228
